Date,Location,Temp_C
1809-03-01,Chicago,1.118
1809-04-01,Chicago,6.432
1809-05-01,Chicago,10.666
1809-06-01,Chicago,17.505
1809-07-01,Chicago,20.127
1809-08-01,Chicago,21.583
1809-09-01,Chicago,17.230999999999998
1809-10-01,Chicago,13.79
1809-11-01,Chicago,3.378
1809-12-01,Chicago,2.14
1810-01-01,Chicago,-1.973
1810-02-01,Chicago,0.6759999999999999
1810-03-01,Chicago,3.072
1810-04-01,Chicago,7.1190000000000015
1810-05-01,Chicago,10.822
1810-06-01,Chicago,17.159000000000002
1810-07-01,Chicago,20.2
1810-08-01,Chicago,21.341
1810-09-01,Chicago,17.404
1810-10-01,Chicago,10.232
1810-11-01,Chicago,4.087
1810-12-01,Chicago,0.4970000000000001
1811-01-01,Chicago,-1.089
1811-02-01,Chicago,-1.5119999999999998
1811-03-01,Chicago,4.0280000000000005
1811-04-01,Chicago,5.519
1811-05-01,Chicago,10.262
1811-06-01,Chicago,17.029
1811-07-01,Chicago,20.549
1811-08-01,Chicago,22.218000000000004
1811-09-01,Chicago,18.272
1811-10-01,Chicago,11.015
1811-11-01,Chicago,4.868
1811-12-01,Chicago,1.256
1812-01-01,Chicago,-3.5780000000000003
1812-02-01,Chicago,-3.128
1812-03-01,Chicago,-0.6410000000000005
1812-04-01,Chicago,4.8130000000000015
1812-05-01,Chicago,9.614
1812-06-01,Chicago,16.105
1812-07-01,Chicago,21.26
1812-08-01,Chicago,22.969
1812-09-01,Chicago,17.381999999999998
1812-10-01,Chicago,10.896999999999998
1812-11-01,Chicago,4.468999999999999
1812-12-01,Chicago,-0.0959999999999998
1813-01-01,Chicago,-3.606
1813-02-01,Chicago,-0.951
1813-03-01,Chicago,-0.234
1813-04-01,Chicago,7.612999999999999
1813-05-01,Chicago,12.3
1813-06-01,Chicago,17.337
1813-07-01,Chicago,22.124
1813-08-01,Chicago,22.373
1813-09-01,Chicago,20.173
1813-10-01,Chicago,11.44
1813-11-01,Chicago,7.37
1813-12-01,Chicago,0.1340000000000001
1814-01-01,Chicago,-2.422
1814-02-01,Chicago,-0.092
1814-03-01,Chicago,1.548
1814-04-01,Chicago,6.4110000000000005
1814-05-01,Chicago,10.723
1814-06-01,Chicago,16.992
1814-07-01,Chicago,19.769
1814-08-01,Chicago,21.573
1814-09-01,Chicago,17.604
1814-10-01,Chicago,11.204
1814-11-01,Chicago,8.137
1814-12-01,Chicago,3.144
1815-01-01,Chicago,-1.7779999999999998
1815-02-01,Chicago,-0.182
1815-03-01,Chicago,1.744
1815-04-01,Chicago,5.735
1815-05-01,Chicago,9.736999999999998
1815-06-01,Chicago,15.62
1815-07-01,Chicago,23.033
1815-08-01,Chicago,21.775
1815-09-01,Chicago,17.253
1815-10-01,Chicago,10.029
1815-11-01,Chicago,3.8
1815-12-01,Chicago,-0.4569999999999999
1816-01-01,Chicago,-1.4489999999999998
1816-02-01,Chicago,-2.657
1816-03-01,Chicago,0.3649999999999997
1816-04-01,Chicago,5.997000000000001
1816-05-01,Chicago,11.300999999999998
1816-06-01,Chicago,15.406
1816-07-01,Chicago,19.314
1816-08-01,Chicago,21.274
1816-09-01,Chicago,16.487000000000002
1816-10-01,Chicago,8.738
1816-11-01,Chicago,4.355
1816-12-01,Chicago,0.1159999999999998
1817-01-01,Chicago,-3.065
1817-02-01,Chicago,-1.213
1817-03-01,Chicago,2.4130000000000003
1817-04-01,Chicago,6.7170000000000005
1817-05-01,Chicago,9.941
1817-06-01,Chicago,15.298
1817-07-01,Chicago,19.673
1817-08-01,Chicago,22.249
1817-09-01,Chicago,16.195999999999998
1817-10-01,Chicago,9.213
1817-11-01,Chicago,6.113
1817-12-01,Chicago,-1.0739999999999998
1818-01-01,Chicago,-2.5380000000000003
1818-02-01,Chicago,-3.388
1818-03-01,Chicago,3.466
1818-04-01,Chicago,7.932
1818-05-01,Chicago,11.716
1818-06-01,Chicago,19.029
1818-07-01,Chicago,21.527
1818-08-01,Chicago,21.72
1818-09-01,Chicago,16.916
1818-10-01,Chicago,10.074
1818-11-01,Chicago,7.391999999999999
1818-12-01,Chicago,-0.7509999999999999
1819-01-01,Chicago,-1.4049999999999998
1819-02-01,Chicago,0.506
1819-03-01,Chicago,-1.354
1819-04-01,Chicago,5.599
1819-05-01,Chicago,10.41
1819-06-01,Chicago,17.067999999999998
1819-07-01,Chicago,21.069000000000003
